
File: raw/L1B_Catalogue/2017-11/11/H18/2017-11.11.H18.kmz
-46.007217 46.422997 0
-46.029980 46.369385 0
-46.052700 46.315773 0
-46.075375 46.262154 0
-46.098007 46.208534 0
-46.120598 46.154907 0
-46.143143 46.101276 0
-46.165646 46.047646 0

File: raw/L1B_Catalogue/2017-11/26/H18/2017-11.26.H18.kmz
-47.286785 47.963322 0
-47.306595 47.908924 0
-47.326370 47.854523 0
-47.346115 47.800117 0
-47.365829 47.745712 0
-47.385517 47.691299 0
-47.405174 47.636887 0
-47.424801 47.582474 0
-47.444397 47.528057 0
-47.463963 47.473637 0
-47.483498 47.419216 0
-47.503006 47.364792 0
-47.522480 47.310368 0
-47.541927 47.255939 0
-47.561344 47.201508 0
-47.580730 47.147068 0
-47.600090 47.092628 0
-47.619415 47.038189 0
-47.638714 46.983742 0
-47.657982 46.929298 0
-47.677223 46.874847 0
-47.696434 46.820396 0
-47.715618 46.765942 0
-47.734772 46.711487 0
-47.753899 46.657028 0
-47.772995 46.602562 0
-47.792068 46.548096 0
-47.811111 46.493626 0
-47.830128 46.439156 0
-47.849113 46.384682 0
-47.868073 46.330208 0
-47.887005 46.275730 0
-47.905907 46.221252 0
-47.924782 46.166775 0
-47.943630 46.112293 0
-47.962452 46.057808 0
-47.981243 46.003323 0

File: raw/L1B_Catalogue/2017-11/01/H06/2017-11.01.H06.kmz
-47.161922 46.045818 0
-47.180279 46.100060 0
-47.198658 46.154301 0
-47.217068 46.208538 0
-47.235500 46.262775 0
-47.253960 46.317013 0
-47.272442 46.371246 0
-47.290955 46.425480 0
-47.309494 46.479713 0
-47.328060 46.533947 0
-47.346653 46.588177 0
-47.365273 46.642410 0
-47.383923 46.696644 0
-47.402599 46.750874 0
-47.421303 46.805103 0
-47.440033 46.859329 0
-47.458790 46.913559 0
-47.477573 46.967785 0
-47.496384 47.022007 0
-47.515224 47.076233 0
-47.534092 47.130455 0
-47.552986 47.184681 0
-47.571907 47.238903 0
-47.590855 47.293125 0
-47.609833 47.347347 0
-47.628838 47.401569 0
-47.647873 47.455788 0
-47.666935 47.510006 0
-47.686024 47.564220 0
-47.705147 47.618435 0
-47.724297 47.672649 0
-47.743477 47.726864 0
-47.762688 47.781075 0
-47.781929 47.835285 0
-47.801201 47.889496 0
-47.820499 47.943703 0
-47.839832 47.997910 0

File: raw/L1B_Catalogue/2017-11/06/H18/2017-11.06.H18.kmz
-47.300735 47.979164 0
-47.323658 47.925602 0
-47.346539 47.872036 0
-47.369373 47.818462 0
-47.392166 47.764889 0
-47.414913 47.711311 0
-47.437618 47.657730 0
-47.460278 47.604145 0
-47.482895 47.550556 0
-47.505466 47.496967 0
-47.527996 47.443375 0
-47.550484 47.389778 0
-47.572929 47.336174 0
-47.595333 47.282570 0
-47.617691 47.228966 0
-47.640011 47.175358 0
-47.662285 47.121746 0
-47.684521 47.068134 0
-47.706711 47.014519 0
-47.728859 46.960899 0
-47.750969 46.907280 0
-47.773037 46.853657 0
-47.795063 46.800026 0
-47.817051 46.746395 0
-47.838997 46.692760 0
-47.860901 46.639126 0
-47.882767 46.585487 0
-47.904587 46.531845 0
-47.926369 46.478203 0
-47.948112 46.424557 0
-47.969814 46.370911 0
-47.991474 46.317257 0

File: raw/L1B_Catalogue/2017-11/25/H18/2017-11.25.H18.kmz
-46.010815 47.051514 0
-46.025764 46.997696 0
-46.040703 46.943874 0
-46.055630 46.890049 0
-46.070541 46.836220 0
-46.085442 46.782391 0
-46.100330 46.728554 0
-46.115208 46.674717 0
-46.130074 46.620876 0
-46.144928 46.567032 0
-46.159771 46.513180 0
-46.174603 46.459328 0
-46.189426 46.405468 0
-46.204235 46.351604 0
-46.219036 46.297737 0
-46.233826 46.243866 0
-46.248600 46.189995 0
-46.263367 46.136116 0
-46.278122 46.082237 0
-46.292866 46.028351 0

File: raw/L1B_Catalogue/2017-11/12/H18/2017-11.12.H18.kmz
-47.847977 47.887882 0

File: raw/L1B_Catalogue/2017-11/12/H06/2017-11.12.H06.kmz
-46.226604 46.023483 0
-46.240749 46.078011 0
-46.254902 46.132542 0
-46.269066 46.187069 0
-46.283241 46.241592 0
-46.297424 46.296124 0
-46.311615 46.350651 0
-46.325813 46.405174 0
-46.340023 46.459702 0
-46.354240 46.514225 0
-46.368469 46.568748 0
-46.382706 46.623272 0
-46.396950 46.677795 0
-46.411205 46.732319 0
-46.425472 46.786839 0
-46.439747 46.841362 0
-46.454033 46.895885 0
-46.468330 46.950409 0
-46.482635 47.004932 0
-46.496948 47.059452 0
-46.511272 47.113972 0
-46.525608 47.168491 0
-46.539955 47.223011 0
-46.554310 47.277527 0
-46.568676 47.332043 0
-46.583050 47.386559 0
-46.597439 47.441074 0
-46.611835 47.495590 0
-46.626244 47.550102 0
-46.640663 47.604614 0
-46.655090 47.659126 0
-46.669533 47.713634 0
-46.683983 47.768147 0
-46.698444 47.822655 0
-46.712917 47.877159 0
-46.727402 47.931671 0
-46.741898 47.986179 0

File: raw/L1B_Catalogue/2017-11/15/H06/2017-11.15.H06.kmz
-46.012691 47.531792 0
-46.038437 47.584366 0
-46.064228 47.636929 0
-46.090069 47.689480 0
-46.115955 47.742023 0
-46.141888 47.794552 0
-46.167870 47.847069 0
-46.193901 47.899578 0
-46.219978 47.952072 0

File: raw/L1B_Catalogue/2017-11/16/H06/2017-11.16.H06.kmz
-46.005363 46.933666 0
-46.025097 46.987446 0
-46.044865 47.041222 0
-46.064663 47.095001 0
-46.084492 47.148781 0
-46.104355 47.202560 0
-46.124249 47.256340 0
-46.144176 47.310116 0
-46.164135 47.363892 0
-46.184128 47.417664 0
-46.204151 47.471439 0
-46.224209 47.525211 0
-46.244301 47.578983 0
-46.264427 47.632751 0
-46.284584 47.686523 0
-46.304779 47.740295 0
-46.325005 47.794064 0
-46.345268 47.847828 0
-46.365562 47.901596 0
-46.385891 47.955360 0

File: raw/L1B_Catalogue/2016-03/02/H00/2016-03.02.H00.kmz
-47.633152 46.004227 0
-47.655701 46.057884 0
-47.678288 46.111538 0
-47.700912 46.165180 0
-47.723576 46.218815 0
-47.746277 46.272442 0
-47.769016 46.326061 0
-47.791798 46.379677 0
-47.814617 46.433281 0
-47.837479 46.486877 0
-47.860378 46.540470 0
-47.883320 46.594055 0
-47.906303 46.647633 0
-47.929325 46.701202 0
-47.952389 46.754761 0
-47.975491 46.808315 0
-47.998634 46.861862 0

File: raw/L1B_Catalogue/2016-03/02/H18/2016-03.02.H18.kmz
-46.063538 47.988464 0
-46.085529 47.935211 0
-46.107483 47.881950 0
-46.129395 47.828690 0
-46.151272 47.775425 0
-46.173107 47.722157 0
-46.194904 47.668884 0
-46.216663 47.615612 0
-46.238384 47.562336 0
-46.260067 47.509052 0
-46.281712 47.455769 0
-46.303322 47.402477 0
-46.324898 47.349186 0
-46.346432 47.295887 0
-46.367931 47.242588 0
-46.389393 47.189285 0
-46.410816 47.135979 0
-46.432205 47.082672 0
-46.453556 47.029362 0
-46.474869 46.976048 0
-46.496147 46.922729 0
-46.517387 46.869408 0
-46.538593 46.816082 0
-46.559761 46.762753 0
-46.580891 46.709423 0
-46.601986 46.656090 0
-46.623047 46.602757 0
-46.644070 46.549419 0
-46.665058 46.496078 0
-46.686008 46.442734 0
-46.706928 46.389389 0
-46.727810 46.336037 0
-46.748661 46.282684 0
-46.769474 46.229324 0
-46.790253 46.175968 0
-46.811001 46.122604 0
-46.831711 46.069241 0
-46.852383 46.015877 0

File: raw/L1B_Catalogue/2017-01/24/H00/2017-01.24.H00.kmz
-46.299774 47.006519 0

